arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,idx,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,label_name,label_value,pad_id,raw_hex_field_load,raw_id,raw_load,src_file,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,10,127.0.0.1,-1.0,5,32317,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a582d506f77657265642d42793a20457870726573730d0a4163636570742d52616e6765733a2062797465730d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a203835380d0a455461673a20572f223335612d73364e55466a67746e72534c33416d2b67524e5554554d53765267220d0a446174653a204d6f6e2c203239204a616e20323031382032313a33363a333620474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a202020203c6d65746120636861727365743d225554462d38223e0a202020203c7469746c653e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e204578616d706c652026205475746f7269616c3c2f7469746c653e0a202020203c6c696e6b2072656c3d227374796c6573686565742220687265663d2268747470733a2f2f6e6574646e612e626f6f74737472617063646e2e636f6d2f626f6f7473747261702f332e332e372f6373732f626f6f7473747261702e6d696e2e63737322202f3e0a202020203c7374796c653e0a202020202020202061207b20637572736f723a20706f696e7465723b207d0a20202020202020202e68656c702d626c6f636b207b20666f6e742d73697a653a20313270783b207d0a202020203c2f7374796c653e0a3c2f686561643e0a3c626f64793e0a202020203c6469762069643d22617070223e3c2f6469763e0a0a202020203c212d2d2063726564697473202d2d3e0a202020203c64697620636c6173733d22746578742d63656e746572223e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d2f706f73742f323031372f30392f31362f72656163742d72656475782d757365722d726567697374726174696f6e2d616e642d6c6f67696e2d7475746f7269616c2d6578616d706c6522207461726765743d225f746f70223e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e205475746f7269616c2026204578616d706c653c2f613e0a20202020202020203c2f703e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d22207461726765743d225f746f70223e4a61736f6e5761746d6f72652e636f6d3c2f613e0a20202020202020203c2f703e0a202020203c2f6469763e0a3c73637269707420747970653d22746578742f6a61766173637269707422207372633d2262756e646c652e6a73223e3c2f7363726970743e3c2f626f64793e0a3c2f68746d6c3e,-1.0,48408,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,11,127.0.0.1,-1.0,5,32317,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a582d506f77657265642d42793a20457870726573730d0a4163636570742d52616e6765733a2062797465730d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a203835380d0a455461673a20572f223335612d73364e55466a67746e72534c33416d2b67524e5554554d53765267220d0a446174653a204d6f6e2c203239204a616e20323031382032313a33363a333620474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a202020203c6d65746120636861727365743d225554462d38223e0a202020203c7469746c653e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e204578616d706c652026205475746f7269616c3c2f7469746c653e0a202020203c6c696e6b2072656c3d227374796c6573686565742220687265663d2268747470733a2f2f6e6574646e612e626f6f74737472617063646e2e636f6d2f626f6f7473747261702f332e332e372f6373732f626f6f7473747261702e6d696e2e63737322202f3e0a202020203c7374796c653e0a202020202020202061207b20637572736f723a20706f696e7465723b207d0a20202020202020202e68656c702d626c6f636b207b20666f6e742d73697a653a20313270783b207d0a202020203c2f7374796c653e0a3c2f686561643e0a3c626f64793e0a202020203c6469762069643d22617070223e3c2f6469763e0a0a202020203c212d2d2063726564697473202d2d3e0a202020203c64697620636c6173733d22746578742d63656e746572223e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d2f706f73742f323031372f30392f31362f72656163742d72656475782d757365722d726567697374726174696f6e2d616e642d6c6f67696e2d7475746f7269616c2d6578616d706c6522207461726765743d225f746f70223e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e205475746f7269616c2026204578616d706c653c2f613e0a20202020202020203c2f703e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d22207461726765743d225f746f70223e4a61736f6e5761746d6f72652e636f6d3c2f613e0a20202020202020203c2f703e0a202020203c2f6469763e0a3c73637269707420747970653d22746578742f6a61766173637269707422207372633d2262756e646c652e6a73223e3c2f7363726970743e3c2f626f64793e0a3c2f68746d6c3e,-1.0,48408,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,12,127.0.0.1,-1.0,5,4083,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,13,127.0.0.1,-1.0,5,4083,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,14,127.0.0.1,-1.0,5,4082,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,15,127.0.0.1,-1.0,5,4082,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,16,127.0.0.1,-1.0,5,33403,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48408,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,17,127.0.0.1,-1.0,5,33403,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48408,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,18,127.0.0.1,-1.0,5,4081,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,19,127.0.0.1,-1.0,5,4081,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,20,127.0.0.1,-1.0,5,20225,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,21,127.0.0.1,-1.0,5,20225,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,22,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48410,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,23,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48410,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,24,127.0.0.1,-1.0,5,20232,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,25,127.0.0.1,-1.0,5,20232,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,26,127.0.0.1,-1.0,5,20086,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65209,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,27,127.0.0.1,-1.0,5,20086,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65209,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,28,127.0.0.1,-1.0,5,2289,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48410,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,29,127.0.0.1,-1.0,5,2289,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48410,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,30,127.0.0.1,-1.0,5,1201,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a582d506f77657265642d42793a20457870726573730d0a4163636570742d52616e6765733a2062797465730d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a203835380d0a455461673a20572f223335612d73364e55466a67746e72534c33416d2b67524e5554554d53765267220d0a446174653a204d6f6e2c203239204a616e20323031382032313a33363a343120474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a202020203c6d65746120636861727365743d225554462d38223e0a202020203c7469746c653e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e204578616d706c652026205475746f7269616c3c2f7469746c653e0a202020203c6c696e6b2072656c3d227374796c6573686565742220687265663d2268747470733a2f2f6e6574646e612e626f6f74737472617063646e2e636f6d2f626f6f7473747261702f332e332e372f6373732f626f6f7473747261702e6d696e2e63737322202f3e0a202020203c7374796c653e0a202020202020202061207b20637572736f723a20706f696e7465723b207d0a20202020202020202e68656c702d626c6f636b207b20666f6e742d73697a653a20313270783b207d0a202020203c2f7374796c653e0a3c2f686561643e0a3c626f64793e0a202020203c6469762069643d22617070223e3c2f6469763e0a0a202020203c212d2d2063726564697473202d2d3e0a202020203c64697620636c6173733d22746578742d63656e746572223e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d2f706f73742f323031372f30392f31362f72656163742d72656475782d757365722d726567697374726174696f6e2d616e642d6c6f67696e2d7475746f7269616c2d6578616d706c6522207461726765743d225f746f70223e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e205475746f7269616c2026204578616d706c653c2f613e0a20202020202020203c2f703e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d22207461726765743d225f746f70223e4a61736f6e5761746d6f72652e636f6d3c2f613e0a20202020202020203c2f703e0a202020203c2f6469763e0a3c73637269707420747970653d22746578742f6a61766173637269707422207372633d2262756e646c652e6a73223e3c2f7363726970743e3c2f626f64793e0a3c2f68746d6c3e,-1.0,48410,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,31,127.0.0.1,-1.0,5,1201,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,485454502f312e3120323030204f4b0d0a582d506f77657265642d42793a20457870726573730d0a4163636570742d52616e6765733a2062797465730d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a203835380d0a455461673a20572f223335612d73364e55466a67746e72534c33416d2b67524e5554554d53765267220d0a446174653a204d6f6e2c203239204a616e20323031382032313a33363a343120474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a202020203c6d65746120636861727365743d225554462d38223e0a202020203c7469746c653e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e204578616d706c652026205475746f7269616c3c2f7469746c653e0a202020203c6c696e6b2072656c3d227374796c6573686565742220687265663d2268747470733a2f2f6e6574646e612e626f6f74737472617063646e2e636f6d2f626f6f7473747261702f332e332e372f6373732f626f6f7473747261702e6d696e2e63737322202f3e0a202020203c7374796c653e0a202020202020202061207b20637572736f723a20706f696e7465723b207d0a20202020202020202e68656c702d626c6f636b207b20666f6e742d73697a653a20313270783b207d0a202020203c2f7374796c653e0a3c2f686561643e0a3c626f64793e0a202020203c6469762069643d22617070223e3c2f6469763e0a0a202020203c212d2d2063726564697473202d2d3e0a202020203c64697620636c6173733d22746578742d63656e746572223e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d2f706f73742f323031372f30392f31362f72656163742d72656475782d757365722d726567697374726174696f6e2d616e642d6c6f67696e2d7475746f7269616c2d6578616d706c6522207461726765743d225f746f70223e5265616374202b205265647578202d205573657220526567697374726174696f6e20616e64204c6f67696e205475746f7269616c2026204578616d706c653c2f613e0a20202020202020203c2f703e0a20202020202020203c703e0a2020202020202020202020203c6120687265663d22687474703a2f2f6a61736f6e7761746d6f72652e636f6d22207461726765743d225f746f70223e4a61736f6e5761746d6f72652e636f6d3c2f613e0a20202020202020203c2f703e0a202020203c2f6469763e0a3c73637269707420747970653d22746578742f6a61766173637269707422207372633d2262756e646c652e6a73223e3c2f7363726970743e3c2f626f64793e0a3c2f68746d6c3e,-1.0,48410,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,32,127.0.0.1,-1.0,5,20230,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,33,127.0.0.1,-1.0,5,20230,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,34,127.0.0.1,-1.0,5,20229,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,35,127.0.0.1,-1.0,5,20229,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,36,127.0.0.1,-1.0,5,2287,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48410,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,37,127.0.0.1,-1.0,5,2287,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48410,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,38,127.0.0.1,-1.0,5,20228,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,39,127.0.0.1,-1.0,5,20228,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,40,127.0.0.1,-1.0,5,23779,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,1653838672,7.0,-1.0,65072,38587,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,41,127.0.0.1,-1.0,5,23779,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,1653838672,7.0,-1.0,65072,38587,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,42,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,38587,65495.0,-1.0,-1.0,1653838672,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,43,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,38587,65495.0,-1.0,-1.0,1653838672,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,44,127.0.0.1,-1.0,5,23786,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653838672,-1.0,-1.0,65064,38587,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,45,127.0.0.1,-1.0,5,23786,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653838672,-1.0,-1.0,65064,38587,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,46,127.0.0.1,-1.0,5,23672,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31382e340d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,1653838672,-1.0,-1.0,65177,38587,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,47,127.0.0.1,-1.0,5,23672,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31382e340d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,1653838672,-1.0,-1.0,65177,38587,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,48,127.0.0.1,-1.0,5,52260,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,38587,-1.0,-1.0,-1.0,1653838672,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,49,127.0.0.1,-1.0,5,52260,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,38587,-1.0,-1.0,-1.0,1653838672,-1.0,-1.0,65064,8080,-1.0
